TIMESTAMP,ACCOUNT_ID,CONSUMPTION,UNITS
2015-01-01 00:00:00-08,19b7abd7-62e9-a02e-245e-560262278c6c,420.0,CF
2015-01-01 00:00:00-08,54f962a1-bd97-593d-b502-2079c72d922b,359.0,CF
2015-01-01 00:00:00-08,9b6a026f-ddeb-81be-5777-39a41823d602,542.0,CF
2015-01-01 00:00:00-08,f21b6cf3-af2e-7790-56d1-a66176c3ddad,747.0,CF
2015-02-01 00:00:00-08,19b7abd7-62e9-a02e-245e-560262278c6c,385.0,CF
2015-02-01 00:00:00-08,707f7886-a789-866e-d143-9659a90cbe33,126.0,CF
2015-02-01 00:00:00-08,9b6a026f-ddeb-81be-5777-39a41823d602,402.0,CF
2015-02-01 00:00:00-08,909ba632-9e36-bcb1-4920-f82ffe295326,536.0,CF
2015-02-01 00:00:00-08,7c332956-dbe9-fc36-2e39-e7b33f7ebe02,185.0,CF
2015-02-01 00:00:00-08,5e8d49f8-2e2b-7117-b230-eb85805cd986,455.0,CF
2015-02-01 00:00:00-08,45cf045a-b61e-aaf9-f6b1-f896794c8a84,812.0,CF
2015-02-01 00:00:00-08,54f962a1-bd97-593d-b502-2079c72d922b,356.0,CF
2015-02-01 00:00:00-08,f21b6cf3-af2e-7790-56d1-a66176c3ddad,607.0,CF
2015-02-01 00:00:00-08,2319a0db-dbe4-f32e-1fd0-d45d55673c1e,1066.0,CF
2015-02-01 00:00:00-08,9f9c8098-2073-e559-a9e4-71b6dc96d920,604.0,CF
2015-02-01 00:00:00-08,9e8007f6-0798-9125-9361-019677794383,282.0,CF
2015-02-01 00:00:00-08,079b6bbd-e1c5-6901-6ba2-b865ffc8ef18,484.0,CF
2015-03-01 00:00:00-08,9b6a026f-ddeb-81be-5777-39a41823d602,515.0,CF
2015-03-01 00:00:00-08,9e8007f6-0798-9125-9361-019677794383,307.0,CF
2015-03-01 00:00:00-08,2319a0db-dbe4-f32e-1fd0-d45d55673c1e,1094.0,CF
2015-03-01 00:00:00-08,45cf045a-b61e-aaf9-f6b1-f896794c8a84,895.0,CF
2015-03-01 00:00:00-08,7c332956-dbe9-fc36-2e39-e7b33f7ebe02,593.0,CF
2015-03-01 00:00:00-08,5e8d49f8-2e2b-7117-b230-eb85805cd986,477.0,CF
2015-03-01 00:00:00-08,909ba632-9e36-bcb1-4920-f82ffe295326,560.0,CF
2015-03-01 00:00:00-08,079b6bbd-e1c5-6901-6ba2-b865ffc8ef18,884.0,CF
2015-03-01 00:00:00-08,707f7886-a789-866e-d143-9659a90cbe33,124.0,CF
2015-03-01 00:00:00-08,f21b6cf3-af2e-7790-56d1-a66176c3ddad,650.0,CF
2015-03-01 00:00:00-08,54f962a1-bd97-593d-b502-2079c72d922b,554.0,CF
2015-03-01 00:00:00-08,19b7abd7-62e9-a02e-245e-560262278c6c,107.0,CF
2015-03-01 00:00:00-08,9f9c8098-2073-e559-a9e4-71b6dc96d920,668.0,CF
2015-04-01 00:00:00-07,079b6bbd-e1c5-6901-6ba2-b865ffc8ef18,1053.0,CF
2015-04-01 00:00:00-07,909ba632-9e36-bcb1-4920-f82ffe295326,618.0,CF
2015-04-01 00:00:00-07,7c332956-dbe9-fc36-2e39-e7b33f7ebe02,609.0,CF
2015-04-01 00:00:00-07,45cf045a-b61e-aaf9-f6b1-f896794c8a84,745.0,CF
2015-04-01 00:00:00-07,5e8d49f8-2e2b-7117-b230-eb85805cd986,416.0,CF
2015-04-01 00:00:00-07,9f9c8098-2073-e559-a9e4-71b6dc96d920,713.0,CF
2015-04-01 00:00:00-07,2319a0db-dbe4-f32e-1fd0-d45d55673c1e,1177.0,CF
2015-04-01 00:00:00-07,707f7886-a789-866e-d143-9659a90cbe33,145.0,CF
2015-04-01 00:00:00-07,54f962a1-bd97-593d-b502-2079c72d922b,386.0,CF
2015-04-01 00:00:00-07,f21b6cf3-af2e-7790-56d1-a66176c3ddad,646.0,CF
2015-04-01 00:00:00-07,19b7abd7-62e9-a02e-245e-560262278c6c,224.0,CF
2015-04-01 00:00:00-07,9b6a026f-ddeb-81be-5777-39a41823d602,490.0,CF
